Title,DOI,relevance_score,is_data_available,is_model_used,is_dataset_public,dataset_link,citation_count,disease_focus,location_focus,keywords,models,discussion_recommendation
"Illegal Wildlife Trade and Emerging Infectious Diseases: Pervasive Impacts to Species, Ecosystems and Human Health",10.3390/ani11061821,8.0,,,no,not mentioned,27.0,emerging infectious diseases,global,"['illegal wildlife trade', 'zoonotic pathogens', 'emerging infectious diseases']",[],"Yes, this paper should be included as it provides a unique perspective on the role of illegal wildlife trade in the transmission of infectious diseases, which is a critical aspect of understanding global human mobility's impact on disease ecology."
Emerging and reemerging diseases: a historical perspective,10.1111/j.1600-065X.2008.00677.x,,,,,,,,,,,
"Ethics, Integrity, and Retributions of Digital Detection Surveillance Systems for Infectious Diseases: Systematic Literature Review",10.2196/32328,,,,,,,,,,,
Parameter Space Exploration in Pedestrian Queue Design to Mitigate Infectious Disease Spread,10.1007/s41745-021-00254-0,8.0,,,no,not mentioned,5.0,COVID-19,airport security check point,"['pedestrian dynamics', 'infectious disease spread', 'parameter space exploration']","['social force-based pedestrian-dynamics', 'stochastic epidemiological model', 'low-discrepancy sequence (LDS) parameter sweep']","Yes, this paper should be included because it provides a novel integration of human mobility modeling and infectious disease spread, focusing on high-density environments and improving computational efficiency in parameter exploration."
Sheep flock health security,,5.0,,,no,not mentioned,11.0,"foot-and-mouth disease, bluetongue",UK,"['animal health', 'livestock infection', 'flock health security']",[],"No, this paper should not be included because it primarily focuses on animal movement and livestock disease, rather than human mobility and its influence on human infectious diseases."
The landscape genetics of infectious disease emergence and spread,10.1111/j.1365-294X.2010.04679.x,8.0,,,no,not mentioned,148.0,not specified,global,"['landscape genetics', 'infectious disease dynamics', 'genetic variation']",[],"Yes, this paper should be included because it explores the integration of landscape genetics with infectious disease dynamics, which is crucial for understanding how human mobility and environmental factors contribute to disease spread and emergence."
Long-Tailed Macaque Response to Deforestation in a Plasmodium knowlesi-Endemic Area,10.1007/s10393-019-01403-9,,,,,,,,,,,
"Travel distance, frequency of return, and the spread of disease",10.1038/s41598-023-38840-0,9.0,,,yes,not mentioned,0.0,not specified,global,"['human mobility', 'disease spread', 'travel policies']",[],"Yes, this paper should be included as it examines the impact of human mobility on infectious diseases using a novel variable that incorporates both travel distance and frequency, which could significantly contribute to the understanding and management of disease spread."
"Risks of Emerging Infectious Diseases: Evolving Threats in a Changing Area, the Mediterranean Basin",10.1111/tbed.12012,,,,,,,,,,,
Bats and Emerging Zoonoses: Henipaviruses and SARS,10.1111/j.1863-2378.2008.01218.x,8.0,,,no,not mentioned,67.0,"Nipah virus, SARS","Malaysia, southern China","['zoonotic diseases', 'emerging infectious diseases', 'wildlife reservoirs']",[],"Yes, this paper should be included as it provides significant insights into the role of human mobility and ecological changes in the spread of infectious diseases from wildlife to humans, particularly with case studies on Nipah virus and SARS which are highly relevant issues."
United by Contagion: How Can China Improve Its Capabilities of Port Infectious Disease Prevention and Control?,10.3390/healthcare10081359,8.0,,,no,not mentioned,2.0,COVID-19,China,"['COVID-19', 'port epidemic prevention', 'transnational public health emergencies']",[],"Yes, this paper should be included because it highlights how international mobility affects infectious diseases, notably through the lens of COVID-19 management and port control measures in China, making it suitable for discussions on human mobility and infectious diseases."
Forecasting the spatial transmission of influenza in the United States,10.1073/pnas.1708856115,9.0,,,no,not mentioned,106.0,influenza,United States,"['human mobility', 'influenza', 'forecasting']","['ensemble forecast system', 'metapopulation model']","Yes, this paper should be included as it effectively demonstrates the integration of human mobility data to enhance the forecasting of influenza spread in the US. Given its significant relevance to the topic and the innovative use of accessible mobility data, it offers valuable insights into optimizing disease outbreak prediction."
Mapping internal connectivity through human migration in malaria endemic countries,10.1038/sdata.2016.66,,,,,,,,,,,
Forecasting the transmission trends of respiratory infectious diseases with an exposure-risk-based model at the microscopic level,10.1016/j.envres.2022.113428,9.0,,,no,not mentioned,10.0,COVID-19,United States,"['COVID-19', 'microscopic model', 'transmission trends']",['exposure-risk-based model'],"Yes, this paper should be included as it presents a novel microscopic-level modeling approach to forecasting transmission trends in infectious diseases, specifically COVID-19, providing a detailed comparison with other models and highlighting the importance of individual and droplet movement in disease spread."
Numerical and experimental investigation on the dynamic airflow of human movement in a full-scale cabin,10.1080/10789669.2014.882677,6.0,,,no,not mentioned,33.0,not specified,full-scale cabin,"['aerodynamic effects', 'human movement', 'indoor environment']",['dynamic meshing'],"No, this paper should not be included as it primarily focuses on aerodynamics and airflow related to human movement rather than direct impacts on infectious disease transmission, lacking specific disease modeling or analysis."
Using Geographic Information for Disease Surveillance at Mass Gatherings,10.1007/978-3-319-12003-4_3,,,,,,,,,,,
"Dengue illness impacts daily human mobility patterns in Iquitos, Peru",10.1371/journal.pntd.0007756,,,,,,,,,,,
The network level reproduction number for infectious diseases with both vertical and horizontal transmission,10.1016/j.mbs.2013.02.004,10.0,,,no,not mentioned,10.0,Rift Valley fever,global,"['reproduction number', 'vertical and horizontal transmission', 'metapopulation model']",['metapopulation model'],"Yes, this paper should be included as it offers a comprehensive analysis of the reproduction number in a network setting, taking into account both forms of disease transmission and multiple species, which is vital for understanding how human mobility influences the spread of zoonotic infectious diseases."
"Major diseases and the defence mechanism in giant freshwater prawn, Macrobrachium rosenbergii (de Man)",,,,,,,,,,,,
Impact of human mobility on the transmission dynamics of infectious diseases,10.1007/s40974-020-00164-4,10.0,,,no,not mentioned,12.0,"common infectious diseases, SARS","India, Hong Kong","['human mobility', 'infectious disease model', 'SIRS model']",['SIRS-type epidemic model'],"Yes, this paper should be included as it presents a detailed analysis using a SIRS-type model to understand the impact of human mobility on the dynamics of infectious disease transmission, particularly with specific focus on India and a historical example relating to Hong Kong."
Exploring optimal control of epidemic spread using reinforcement learning,10.1038/s41598-020-79147-8,8.0,,,no,not mentioned,24.0,COVID-19,global,"['reinforcement learning', 'pandemic management', 'economic factors']",['reinforcement learning'],"Yes, this paper should be included because it explores the use of reinforcement learning to manage lockdown policies during pandemics like COVID-19, balancing disease control against economic impacts. The approach is innovative and relevant to understanding the interaction between human mobility restrictions and infectious disease spread."
"Spatial Heterogeneity, Host Movement and Mosquito-Borne Disease Transmission",10.1371/journal.pone.0127552,8.0,,,no,not mentioned,31.0,mosquito-borne diseases,global,"['human mobility', 'mosquito-borne diseases', 'spatial heterogeneity']","['numerical simulations', 'basic reproduction number (R-0)']","Yes, this paper should be included in discussions on human mobility and infectious diseases as it clearly addresses how spatial heterogeneity and host movement are crucial factors in the transmission dynamics of mosquito-borne diseases. It provides significant insights into the interplay between mobility and disease prevalence and reproduction number, which are core dynamics in studying infectious diseases spread."
Assessing the use of mobile phone data to describe recurrent mobility patterns in spatial epidemic models,10.1098/rsos.160950,8.0,,,no,not mentioned,42.0,not specified,France,"['human mobility', 'epidemic modeling', 'mobile phone data']",['spatially structured epidemic model'],"Yes, this paper should be included in the discussion paper about human mobility and infectious diseases because it provides relevant data on the impact of mobility patterns from different data sources on the simulation of epidemic outbreaks."
Rapid human movement and dengue transmission in Bangladesh: a spatial and temporal analysis based on different policy measures of COVID-19 pandemic and Eid festival,10.1186/s40249-024-01267-4,,,,,,,,,,,
Psychogenic movement disorder in human T-lymphotropic virus type 1 associated myelopathy,10.1016/j.ijid.2015.11.013,3.0,,,no,not mentioned,1.0,HTLV-1 associated myelopathy,not specified,"['HTLV-1', 'psychogenic movement disorders', 'HAM/TSP']",[],"No, this paper should not be included as it does not directly address the impact of human mobility on infectious diseases, nor does it utilize specific models relevant to the topics of human mobility and infectious disease modeling."
Human movement and environmental barriers shape the emergence of dengue,10.1038/s41467-024-48465-0,9.0,,,no,not mentioned,2.0,dengue,Mexico and Brazil,"['human movement', 'environmental suitability', 'dengue spread']",['dynamic modelling approach'],"Yes, this paper should be included because it provides a detailed analysis on the interaction between human mobility and environmental factors in the spread of dengue in specific locations, utilizing an innovative modeling approach."
Social Network Analysis. Review of General Concepts and Use in Preventive Veterinary Medicine,10.1111/j.1865-1682.2009.01073.x,7.0,,,no,not mentioned,189.0,"HIV, tuberculosis, hepatitis B, syphilis",global,"['social network analysis', 'preventive veterinary medicine', 'infectious diseases']","['social network analysis', 'graph theory']","Yes, this paper should be included because it discusses the application of social network analysis to infectious diseases, an area directly relevant to the study of how human mobility affects disease spread, even though its primary focus is on veterinary medicine."
Dynamic Contact Networks in Confined Spaces: Synthesizing Micro-Level Encounter Patterns through Human Mobility Models from Real-World Data,10.3390/e26080703,8.0,,,no,not mentioned,0.0,not specified,confined spaces,"['human mobility', 'micro-level contact modeling', 'infectious disease forecasting']",['Bayesian optimization'],"Yes, this paper should be included because it provides a unique focus on micro-level contact modeling using human mobility data, which is essential for understanding infection dynamics in confined spaces. This approach is highly relevant for detailed pandemic simulations and forecasting."
Global Factors Driving Emerging Infectious Diseases Impact on Wildlife Populations,10.1196/annals.1428.052,4.0,,,no,not mentioned,92.0,not specified,global,"['habitat fragmentation', 'disease outbreaks', 'conservation medicine']",[],"No, this paper should not be included as it focuses more on the general impact of human activity on wildlife and ecosystem health, rather than explicitly on human mobility and infectious diseases."
Preliminary Investigation of Bird and Human Movements and Disease-Management Practices in Noncommercial Poultry Flocks in Southwestern British Columbia,10.1637/9646-010411-Reg.1,7.0,,,no,not mentioned,20.0,highly pathogenic avian influenza,"British Columbia, Canada","['poultry movement', 'avian influenza', 'disease transmission']",['descriptive analysis'],"Yes, this paper should be included because while it focuses on a very niche area of human mobility linked to noncommercial poultry operations and the transmission of avian influenza, it highlights important considerations in the movement patterns that could influence broader discussions on infectious disease spread in mixed agricultural-urban settings."
Modeling Dynamic Human Behavioral Changes in Animal Disease Models: Challenges and Opportunities for Addressing Bias,10.3389/fvets.2018.00137,5.0,,,no,not mentioned,36.0,livestock diseases,not specified,"['livestock diseases', 'behavioral changes', 'disease modeling']",['network-based approaches'],"No, this paper should not be included as it primarily focuses on livestock diseases and human behavioral changes in animal farming rather than human mobility and its impact on human infectious diseases. This makes it less relevant to the specific topic of human mobility affecting human infectious disease spread."
Epidemic spread on patch networks with community structure,10.1016/j.mbs.2023.108996,,,,,,,,,,,
"Epidemiological Survey of First Human Brucellosis Outbreak Caused by the Sika Deer (Cervus nippon) - Guizhou Province, China, 2019",10.46234/ccdcw2021.081,7.0,,,no,not mentioned,1.0,brucellosis,"Guizhou Province, China","['human brucellosis', 'sika deer', 'zoonotic infectious disease']",[],"Yes, this paper should be included because it addresses the unique case of human brucellosis sourced from sika deer, indicating the impact of animal movement on the spread of infectious diseases. It is geographically focused and provides insights on local regulatory challenges and public health implications which are vital areas in understanding how human mobility influences disease transmission."
Dengue and chikungunya: modelling the expansion of mosquito-borne viruses into naive populations,10.1017/S0031182016000421,,,,,,,,,,,
Human mobility models reveal the underlying mechanism of seasonal movements across China,10.1142/S0129183122500541,8.0,,,no,not mentioned,6.0,not specified,China,"['human mobility', 'spatiotemporal characteristics', 'population movements']","['gravity model', 'opportunity priority selection (OPS) model']","Yes, this paper should be included as it provides an extensive analysis of human mobility patterns which are crucial for understanding and managing the spread of infectious diseases, despite not focusing on a specific disease."
Simulation modeling of influenza transmission through backyard pig trade networks in a wildlife/livestock interface area,10.1007/s11250-019-01892-4,7.0,,,no,not mentioned,4.0,influenza,Mexico,"['influenza transmission', 'backyard pig trade', 'SIR model']",['SIR model'],"Yes, this paper should be included as it examines the effect of pig trade mobility and connectivity on influenza transmission, relevant to understanding how animal mobility influences zoonotic diseases."
Utility of R0 as a predictor of disease invasion in structured populations,10.1098/rsif.2006.0185,,,,,,,,,,,
The effect of governance structures on optimal control of two-patch epidemic models,10.1007/s00285-023-02001-8,8.0,,,no,not mentioned,0.0,"cholera, Ebola",global,"['governance structure', 'optimal control', 'infectious diseases']","['optimal control framework', 'differential equations']","Yes, this paper should be included as it closely examines the effect of human governance (which can imply structured mobility regulations) on the control and management of infectious diseases using mathematical models, which is relevant to discussions on how mobility influences disease dynamics."
Gynaecological disorders associated with Brucella melitensis in goat flocks with potential risk of occupational zoonoses in Central India,10.18520/cs/v120/i12/1912-1916,4.0,,,no,not mentioned,0.0,brucellosis,Central India,"['brucellosis', 'occupational zoonoses', 'animal husbandry']","['RBPT', 'SAT', 'S-LPS ELISA']","No, this paper should not be included as it does not primarily focus on human mobility impacts on infectious diseases but rather on the prevalence and diagnostic methods of brucellosis in goats and occupational exposure in Central India."
Death comes for us all: relating movement-integrated habitat selection and social behavior to human-associated and disease-related mortality among gray wolves,10.1007/s00442-023-05426-6,5.0,,,no,not mentioned,3.0,canine distemper virus,national park and a provincially managed multi-use area,"['habitat selection', 'movement', 'social behavior']",['integrated step selection analysis'],"No, this paper should not be included in the discussion focused specifically on human mobility and infectious diseases as it primarily deals with animal behavior and disease-related mortality in wildlife, rather than direct implications on human disease dynamics."
Integrated Pathways for Neutrophil Recruitment and Inflammation in Leprosy,10.1086/650318,3.0,,,no,not mentioned,53.0,leprosy,not specified,"['neutrophil recruitment', 'inflammation', 'leprosy']",['bioinformatics pathways analysis'],"No, this paper should not be included as it primarily focuses on the biochemical pathways and gene expression in leprosy, rather than human mobility and its effect on infectious diseases."
Multiscale model for pedestrian and infection dynamics during air travel,10.1103/PhysRevE.95.052320,,,,,,,,,,,
"Shrimp Viral Diseases, Import Risk Assessment and International Trade",10.1007/s13337-012-0081-4,3.0,,,no,not mentioned,36.0,"white spot syndrome, yellow head disease, Taura syndrome",global,"['shrimp viral diseases', 'international trade', 'aquaculture']",[],"No, this paper should not be included as it primarily focuses on shrimp aquaculture and viral diseases in shrimp, which does not align closely with the human impact on infectious diseases through mobility."
Emerging diseases and implications for Millennium Development Goals in Africa by 2015-an overview,,,,,,,,,,,,
Opinion - Therapeutic vaccination for chronic diseases: a new class of drugs in sight,10.1038/nrd1284,2.0,,,no,not mentioned,93.0,not specified,global,"['monoclonal antibodies', 'vaccination', 'chronic diseases']",[],"No, this paper should not be included as it primarily focuses on drug development and vaccination strategies rather than human mobility and its influence on infectious diseases."
A 'what-if' scenario: Nipah virus attacks pig trade chains in Thailand,10.1186/s12917-020-02502-4,8.0,,,no,not mentioned,6.0,Nipah virus,Thailand,"['Nipah virus', 'pig movement networks', 'SEIR modeling']","['Multi-criteria decision analysis (MCDA)', 'weighted linear combination (WLC)', 'susceptible-exposed-infectious-removed (SEIR) modeling', 'network modeling']","Yes, this paper should be included because it specifically addresses the spread of infectious diseases through human mobility networks within Thailand. The modeling techniques employed are pertinent to understanding how diseases like the NiV could potentially spread, making it relevant for discussions on human mobility's effect on infectious diseases. However, lack of a publicly available dataset and slightly narrow geographic focus are minor drawbacks."
Investigating consistent effects of the urban built environment and human mobility on COVID-19 outbreaks: A comprehensive meta-analysis,10.1016/j.scs.2024.105226,,,,,,,,,,,
'Nosodes' are no substitute for vaccines,10.1093/pch/20.4.219,2.0,,,no,not mentioned,11.0,not specified,Canada,"['antivaccine movement', 'nosodes', 'vaccine']",[],"No, this paper should not be included as it does not focus on human mobility or employ any specific infectious disease models. It revolves around the debate on homeopathic nosodes versus conventional vaccines without direct relevance to the dynamics of human mobility and infectious disease spread."
Animal Migration and Infectious Disease Risk,10.1126/science.1194694,,,,,,,,,,,
Spatiotemporal reconstruction and transmission dynamics during the 2016-17 H5N8 highly pathogenic avian influenza epidemic in Italy,10.1111/tbed.13420,8.0,,,no,not mentioned,6.0,avian influenza A(H5N8),"Lombardy, Emilia-Romagna, Veneto","['avian influenza', 'spatiotemporal analysis', 'phylogenetic framework']","['Bayesian phylogenetic framework', 'phylogeography']","Yes, this paper should be included because it provides a detailed case study of how human and bird mobility can affect the transmission dynamics of avian influenza, which is valuable for understanding patterns and control measures in similar infectious disease scenarios."
Determining travel fluxes in epidemic areas,10.1371/journal.pcbi.1009473,9.0,,,no,not mentioned,2.0,COVID-19,mainland China,"['travel restrictions', 'epidemic areas', 'population flow']","['random diffusion process', 'deterministic drift process', 'multi-source data fusion method']","Yes, this paper should be included as it offers significant insights into how human mobility patterns can be managed during an epidemic to prevent the spread of infectious diseases like COVID-19. It also proposes a novel model and utilizes a multi-source data method relevant to the field."
Advancing indoor risk mapping for virus transmission of infectious diseases through geographic scenario simulation,10.1080/15230406.2023.2293880,8.0,,,no,not provided,2.0,not specified,high-risk university canteen,"['indoor risk mapping', 'virus transmission', 'geographic scenario simulation']",['scenario-based simulation framework'],"Yes, this paper should be included because it explores the significant concern of indoor infectious disease transmission through human mobility using a novel simulation framework, which is highly relevant to the discussion topic."
An agent-based movement model to assess the impact of landscape fragmentation on disease transmission,10.1890/ES13-00376.1,,,,,,,,,,,
CHARACTERIZING MOVEMENT PATTERNS OF NOMADIC PASTORALISTS AND THEIR EXPOSURE TO RIFT VALLEY FEVER IN KENYA,10.5194/isprs-archives-XLVIII-M-1-2023-211-2023,,,,,,,,,,,
Heterogeneity in the spread and control of infectious disease: consequences for the elimination of canine rabies,10.1038/srep18232,,,,,,,,,,,
Three-dimensional analysis of the effect of human movement on indoor airflow patterns,10.1111/ina.12735,3.0,,,no,not mentioned,38.0,not specified,not specified,"['human movement', 'indoor airflow', 'contaminant transport']",[],"No, this paper should not be included because it primarily focuses on the physical impact of human movement on indoor airflow rather than the transmission and dynamics of infectious diseases."
"Human Mobility Associated With Risk of Schistosoma japonicum Infection in Sichuan, China",10.1093/aje/kwaa292,8.0,,,no,not mentioned,7.0,Schistosoma japonicum,"Sichuan, China","['human mobility', 'Schistosoma japonicum', 'infection risk']","['random forests', 'logistic regression']","Yes, this paper should be included because it thoroughly investigates the impact of human mobility on transmission risk for schistosomiasis in a rural setting, using sophisticated statistical models to analyze the data."
"OUTBREAK CONTROL FOR EMERGING, AND RE-EMERGING INFECTIOUS DISEASES, AND CHALLENGE TO THREAT OF INVISIBLE TRANSMISSION",,8.0,,,no,not mentioned,0.0,"avian influenza A (H5N1), swine influenza A (H1N1), malaria",global,"['emerging infectious diseases', 'human mobility', 'zoonotic pathogens']",[],"Yes, this paper should be included as it extensively discusses the impact of human mobility on the spread of both emerging and re-emerging infectious diseases, aligning well with the theme of the discussion paper. Despite the lack of specific models used in its analysis, its comprehensive coverage of global health risks and mitigation strategies makes it a significant contribution to understanding the mobility-disease nexus."
Predicting infectious disease for biopreparedness and response: A systematic review of machine learning and deep learning approaches,10.1016/j.onehlt.2022.100439,,,,,,,,,,,
Using Google Location History data to quantify fine-scale human mobility,10.1186/s12942-018-0150-z,8.0,,,no,not mentioned,66.0,not specified,global,"['human mobility', 'Google Location History', 'infectious disease control']",[],"Yes, this paper should be included as it offers a novel approach to quantifying human mobility using a large-scale dataset, relevant for studying the spread of infectious diseases."
Equine Infectious Anaemia - a review from an official veterinary perspective,10.17236/sat00232,6.0,,,no,not mentioned,4.0,Equine Infectious Anaemia,Switzerland,"['Equine Infectious Anaemia', 'quarantine restrictions', 'veterinary perspective']",[],"No, this paper should not be included because it focuses on animal disease and legal frameworks rather than the direct study of human mobility and infectious diseases relevant to human populations. The scope and focus are more regulatory and veterinary than modelings of human disease transmission through mobility."
A Novel Human-Like Control Framework for Mobile Medical Service Robot,10.1155/2020/2905841,6.0,,,no,not mentioned,3.0,COVID-19,hospital room,"['human-like control', 'mobile medical service robot', 'COVID-19']","['dynamic movement primitives (DMP)', 'Gaussian mixture model (GMM)', 'neural-based model predictive tracking controller']","Maybe, this paper should be included with reservations as it discusses an innovative approach to managing human mobility indirectly by replacing human tasks with robots in infectious disease scenarios. Although it provides valuable insights into controlling robots in hospital settings, it does not directly analyze human mobility patterns."
How the distance between regional and human mobility behavior affect the epidemic spreading,10.1016/j.physa.2017.11.099,,,,,,,,,,,
Eugenics and public health in American history,10.2105/AJPH.87.11.1767,,,,,,,,,,,
State-space models reveal bursty movement behaviour of dance event visitors,10.1140/epjds/s13688-021-00292-9,7.0,,,no,not mentioned,3.0,not specified,"Johan Cruijff ArenA, Amsterdam","['pedestrian movement', 'crowd dynamics', 'bursty movement behaviour']",['state-space models'],"Yes, this paper should be included because it provides valuable insights into pedestrian movement behaviors at large events, which can be crucial for understanding and modeling the spread of infectious diseases in such environments."
Human intervention in freshwater ecosystems drives disease emergence,10.1111/j.1365-2427.2011.02572.x,6.0,,,no,not mentioned,48.0,emerging diseases,global,"['human intervention', 'disease emergence', 'aquatic animals']",[],"No, this paper should not be included because it focuses more on animal pathology and less on human mobility impacting human infectious diseases, which is central to the discussion topic."
Sick of attention: The effect of a stress-related disease on juvenile green sea turtle behaviour in the face of intense and prolonged tourism,10.1002/aqc.3773,5.0,,,no,not mentioned,6.0,fibropapillomatosis,"Akumal Bay, Mexico","['ecotourism', 'turtle behavior', 'fibropapillomatosis']",[],"No, this paper should not be included as its primary focus is on the behavior of sea turtles in response to tourism rather than on human mobility and infectious diseases affecting humans. However, the findings might be relevant indirectly for discussions on how human activities impact animal health and potentially linked diseases."
SPONGIFORM ENCEPHALOPATHIES - THE PHYSICIANS RESPONSIBILITY,10.1097/00007611-199002000-00003,,,,,,,,,,,
As the Duck Flies-Estimating the Dispersal of Low-Pathogenic Avian Influenza Viruses by Migrating Mallards,10.3389/fevo.2018.00208,7.0,,,no,not mentioned,15.0,low-pathogenic avian influenza,Baltic Sea,"['avian influenza', 'mallard migration', 'disease dispersal']","['movement model', 'infection simulation']","Yes, this paper should be included in the discussion as it provides insights into the role of host mobility in the spread of infectious diseases, though it focuses on animal hosts rather than humans."
The lavatory lens: Tracking the global movement of pathogens via aircraft wastewater,10.1080/10643389.2023.2239129,9.0,,,no,not mentioned,1.0,COVID-19,global,"['aircraft wastewater', 'COVID-19 surveillance', 'public health']","['network models', 'infectious disease models']","Yes, this paper should be included because it provides a unique perspective on tracking global infectious disease spread via a non-conventional method (aircraft wastewater), which is directly linked to human mobility and has been demonstrated to be pivotal during the COVID-19 pandemic."
The Planetary Child Health & Enterics Observatory (Plan-EO): A protocol for an interdisciplinary research initiative and web-based dashboard for mapping enteric infectious diseases and their risk factors and interventions in LMICs,10.1371/journal.pone.0297775,,,,,,,,,,,
Climate Change and Human Health: A One Health Approach,10.1007/82_2012_274,7.0,,,no,not mentioned,33.0,not specified,global,"['climate change', 'human health', 'ecosystems']",[],"No, this paper should not be included because it focuses broadly on climate change impacts on human health and ecosystems, without direct reference to human mobility and specific infectious diseases modelling or data."
Network memory in the movement of hospital patients carrying antimicrobial-resistant bacteria,10.1007/s41109-021-00376-5,8.0,,,no,not mentioned,4.0,antimicrobial-resistant bacteria,London,"['antimicrobial resistance', 'network-based analysis', 'hospital patients']",['lumped-state memory network'],"Yes, this paper should be included as it offers a unique perspective on patient movement within hospitals and the spread of antimicrobial-resistant bacteria, which is a significant issue in understanding hospital-related infectious disease transmission and control."
Differential mobility and local variation in infection attack rate,10.1371/journal.pcbi.1006600,8.0,,,no,not mentioned,7.0,pandemic influenza,"Guang-dong, China","['spatial transmission model', 'population density', 'infection attack rate']",['gridded spatial transmission model'],"Yes, this paper should be included as it addresses significant elements of spatial dynamics and mobility in the context of infectious disease transmission, thus providing crucial insights for the field."
"Avian Influenza H5N1 and the Wild Bird Trade in Hanoi, Vietnam",,,,,,,,,,,,
OUR COMMON ENEMY: COMBATTING THE WORLD'S DEADLIEST VIRUSES TO ENSURE EQUITY HEALTH CARE IN DEVELOPING NATIONS,10.1111/j.1467-9744.2009.00985.x,,,,,,,,,,,
EFFECTS OF TRAVEL FREQUENCY ON THE PERSISTENCE OF MOSQUITO-BORNE DISEASES,10.3934/dcdsb.2020119,,,,,,,,,,,
"Variations in small-scale movements of, Rousettus aegyptiacus, a Marburg virus reservoir across a seasonal gradient",10.1186/s12983-023-00502-2,,,,,,,,,,,
A Large-Scale IoT-Based Scheme for Real-Time Prediction of Infectious Disease Symptoms,10.1007/s11036-023-02111-z,8.0,,,no,not mentioned,2.0,COVID-19,global,"['IoT', 'infectious disease prediction', 'real-time monitoring']",['NS3 simulation'],"Yes, this paper should be included due to its innovative use of IoT technologies to monitor and predict the spread of infectious diseases, particularly using human mobility data which is crucial for understanding disease dynamics. However, the lack of a publicly available dataset and specific modeling details slightly limit its utility."
"The veterinary surgeon as an actor of public health: example of the canine leishmaniosis, a vector-borne zoonosis",10.1016/S0001-4079(19)30894-5,6.0,,,no,not mentioned,0.0,canine leishmaniosis,global,"['canine leishmaniosis', 'veterinary public health', 'zoonosis']",[],"No, this paper should not be included in a discussion about human mobility and infectious diseases. Although it touches on the movements of dogs as a factor in spreading diseases, it primarily focuses on the veterinary aspect and specific treatments rather than broader implications of human mobility and its effect on general infectious disease dynamics."
"Travelling Companions: Emerging Diseases of People, Animals and Plants Along the Malawi-Mozambique Border",10.1007/s10745-012-9503-6,,,,,,,,,,,
Connecting the dots: understanding how human mobility shapes TB epidemics,10.1016/j.tim.2022.04.005,9.0,,,no,not mentioned,4.0,Tuberculosis (TB),global,"['human mobility', 'TB epidemic dynamics', 'dispersal of novel TB strains']",['not specified'],"Yes, this paper should be included as it deeply explores how human mobility influences TB transmission dynamics, a critical aspect of infectious disease modeling."
"The activity of antivaccine movement, role of the mass media and influence of religious beliefs on the attitude towards immunization",,3.0,,,no,not mentioned,5.0,not specified,global,"['antivaccination', 'mass media', 'religious beliefs']",[],"No, this paper should not be included in the discussion about human mobility and infectious diseases as it does not provide specific insights or data on the impact of human mobility on the spread of infectious diseases."
Neuroimaging of Emergent and Reemergent Infections,10.1148/rg.2019190020,,,,,,,,,,,
Trajectory Data Analyses for Pedestrian Space-time Activity Study,10.3791/50130,8.0,,,no,not mentioned,15.0,not specified,global,"['human mobility', 'infectious disease transmission', 'trajectory data analysis']","['trajectory segmentation', 'density estimation', 'visual analysis']","Yes, this paper should be included as it explores the methodologies for processing and analyzing trajectory data which is crucial for understanding the dynamics of infectious disease spread through human mobility, despite not focusing on a specific disease or dataset."
Assessing exhibition swine as potential disseminators of infectious disease through the detection of five respiratory pathogens at agricultural exhibitions,10.1186/s13567-019-0684-5,,,,,,,,,,,
"Pathogenic Bacteria in Free-Living Birds, and Its Public Health Significance",10.3390/ani14060968,7.0,,,no,not mentioned,5.0,zoonotic bacterial diseases,global,"['avian diseases', 'public health', 'zoonotic pathogens']",[],"Yes, this paper should be included as it explores the influence of bird migration, a form of animal mobility, on the global transmission of zoonotic bacterial diseases which impacts public health. It provides essential insights into the spread patterns of infectious diseases related to wildlife mobility."
Modeling internal migration flows in sub-Saharan Africa using census microdata,10.1093/migration/mnu036,8.0,,,no,not mentioned,53.0,not specified,sub-Saharan Africa,"['human migration', 'sub-Saharan Africa', 'infectious diseases']",['gravity-type spatial interaction models'],"Yes, this paper should be included as it provides valuable insights into the patterns of internal migration in sub-Saharan Africa and how these can be modeled, which is essential for planning disease control strategies. Although it does not focus on a specific disease, the implications for infectious disease epidemiology are significant."
The contact structure of Great Britain's salmon and trout aquaculture industry,10.1016/j.epidem.2019.05.001,4.0,,,no,not mentioned,8.0,not specified,Great Britain,"['live fish transport', 'infectious disease control', 'network analysis']",[],"No, this paper should not be included as it focuses on the aquaculture industry rather than human mobility affecting human infectious diseases. Its core subject is the transport of live fish within aquaculture, which is different from typical studies of human mobility and communicable diseases in humans."
Spatiotemporal Transmission Model to Simulate an Interregional Epidemic Spreading,10.1080/24694452.2023.2216296,9.0,,,yes,not mentioned,4.0,COVID-19,China,"['spatiotemporal analysis', 'transmission modeling', 'interregional population interaction']","['compartment modeling', 'flow interaction modeling', 'spatial spread modeling']","Yes, this paper should be included as it offers a robust analysis of the impacts of human mobility on the spread of infectious diseases, specifically through detailed compartmental and spatial modeling in the context of COVID-19 in China."
Survey for selected pathogens and evaluation of disease risk factors for endangered Hawaiian monk seals in the main Hawaiian Islands,10.1007/s10393-006-0059-z,6.0,,,no,not mentioned,27.0,multiple diseases,main Hawaiian Islands,"['Hawaiian monk seals', 'infectious diseases', 'marine habitat exposure']",[],"No, this paper should not be included as it focuses predominantly on marine mammals in a specific region rather than broader human mobility and its impact on infectious diseases transmission in human populations."
